id,url,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,has_creature_stats,xp_gain,raw_xp_gain,balance,supplies_total,loot_total,supplies_known,xp_h,raw_xp_h,balance_h,loot_h,query_min,query_max,query_party,query_search
45112,https://www.hunt-analyser.com/hunt_sessions/45112,Grounds of Fire (Infernatil),"Mar 20, 2026 23:05",01:02h,62,1,ED 1292,1292,1292,1292,1,23394793,10414859,1845374,165880,2011254,1,22640122,10078895,1785845,1946375.0,0,0,,demon
47295,https://www.hunt-analyser.com/hunt_sessions/47295,iks occ (Mitmah Seers),"May 14, 2026 10:40",00:33h,33,1,RP 618,618,618,618,1,7823491,3973958,435664,231429,667093,1,14224529,7225378,792116,1212896.0,0,0,,demon
47353,https://www.hunt-analyser.com/hunt_sessions/47353,Rootthings -2 (Podzilla),"May 15, 2026 09:21",01:30h,90,4,MS 858+ED 977+EK 984+RP 940,858,984,940,1,49483492,18008471,5374962,2380888,7755850,1,32988994,12005647,3583308,5170567.0,0,0,,demon
47363,https://www.hunt-analyser.com/hunt_sessions/47363,Rootthings -2 (Podzilla),"May 15, 2026 11:19",01:29h,89,4,MS 858+ED 977+EK 984+RP 940,858,984,940,1,47125705,16986934,4727195,2415805,7143000,1,31770138,11451865,3186873,4815506.0,0,0,,demon
47423,https://www.hunt-analyser.com/hunt_sessions/47423,DT -1 (VEX BOUNTY),"May 16, 2026 08:17",01:01h,61,1,EK 1172,1172,1172,1172,1,13661487,6916296,1985338,391181,2376519,1,13437528,6802914,1952791,2337560.0,0,0,,demon
47433,https://www.hunt-analyser.com/hunt_sessions/47433,Rootthings -2 (Podzilla),"May 16, 2026 09:18",01:32h,92,4,MS 860+ED 980+EK 986+RP 942,860,986,942,1,58913380,19322915,5391511,2691089,8082600,1,38421769,12601901,3516202,5271261.0,0,0,,demon
47436,https://www.hunt-analyser.com/hunt_sessions/47436,Rootthings -2 (Podzilla),"May 16, 2026 11:13",01:26h,86,4,MS 860+ED 980+EK 986+RP 942,860,986,942,1,49721593,17364248,4709267,2437583,7146850,1,34689483,12114591,3285535,4986174.0,0,0,,demon
47458,https://www.hunt-analyser.com/hunt_sessions/47458,WZ 8 (SD BOUNTY),"May 16, 2026 19:26",01:02h,62,1,EK 1173,1173,1173,1173,1,12984059,6975658,2847878,407608,3255486,1,12565218,6750636,2756010,3150470.0,0,0,,demon
47548,https://www.hunt-analyser.com/hunt_sessions/47548,Rootthings -2 (Podzilla),"May 18, 2026 09:17",01:28h,88,4,MS 866+ED 984+EK 990+RP 948,866,990,947,1,50473265,18251179,4720965,2730085,7451050,1,34413589,12443985,3218839,5080261.0,0,0,,demon
48650,https://www.hunt-analyser.com/hunt_sessions/48650,Demons Edron,"Jun 13, 2026 18:06",00:56h,56,1,RP 328,328,328,328,1,441514,0,71450,38607,110057,1,473050,0,76553,117918.0,0,0,,demon
49294,https://www.hunt-analyser.com/hunt_sessions/49294,cobra bastion,"Jun 21, 2026 20:31",01:08h,68,1,EK 652,652,652,652,1,21274669,8404478,901729,905277,1807006,1,18771766,7415715,795643,1594417.0,0,0,,demon
49641,https://www.hunt-analyser.com/hunt_sessions/49641,Feru way,"Jun 26, 2026 11:53",01:09h,69,1,RP 845,845,845,845,1,16747695,7443396,2555183,552829,3108012,1,14563213,6472518,2221898,2702619.0,0,0,,demon
50901,https://www.hunt-analyser.com/hunt_sessions/50901,Demon Goroma,"Jul 10, 2026 13:57",01:01h,61,1,EK 351,351,351,351,1,1393110,928740,506861,117496,624357,1,1370272,913514,498551,614122.0,0,0,,demon
50923,https://www.hunt-analyser.com/hunt_sessions/50923,demons Oramond 30 minutes,"Jul 10, 2026 18:00",01:00h,60,1,ED 474,474,474,474,1,1248870,832580,252470,74569,327039,1,1248870,832580,252470,327039.0,0,0,,demon
50928,https://www.hunt-analyser.com/hunt_sessions/50928,demons goroma 30m,"Jul 10, 2026 19:25",00:28h,28,1,ED 474,474,474,474,1,858516,572344,305579,36492,342071,1,1839677,1226451,654812,733009.0,0,0,,demon
52228,https://www.hunt-analyser.com/hunt_sessions/52228,Caminho de Ferumbras,"Jul 27, 2026 16:26",00:45h,45,1,RP 1012,1012,1012,1012,1,8305962,5881722,1594115,371485,1965600,1,11074616,7842296,2125486,2620800.0,0,0,,demon
6677,https://www.hunt-analyser.com/hunt_sessions/6677,Prison -3 Demon Boost 02,"Oct 20, 2024 12:35",01:10h,70,2,MS 633+EK 711,633,711,672,1,18245028,8511981,2193999,629394,2823393,1,15638595,7295983,1880570,2420051.0,0,0,,demon
